Row #,Style Name,Example Image URL,Generation Prompt
1,Studio Ghibli,https://blob.genspark.ai/aa83b17e-a6b2-47f5-9c66-f76e8ac80a87?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=xjZtI69aBk8EFPIGl4eqaFtfhxJvHbWNqNl6I6Xs4hE%3D,"Beautiful Studio Ghibli style artwork, soft watercolor textures, whimsical fantasy elements, rolling hills, magical creatures, detailed character design in Hayao Miyazaki animation style, cel-shaded rendering, warm lighting, enchanted forest background, dreamy atmosphere"
2,Miyazaki Style,https://blob.genspark.ai/b8c09b24-6a5d-4e3d-8b32-06d7fa8a2c39?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=nqnAa8XXmL6ZtgbW7e8MvWQIGXoVTvLN8LMM7QG1Iig%3D,"Miyazaki animation style, hand-drawn 2D animation, traditional cel animation techniques, detailed character expressions, flowing hair and clothing, nature-inspired backgrounds, soft color palette, emotional storytelling through visual design, Japanese animation aesthetics"
3,Cyberpunk,https://blob.genspark.ai/29cc63bf-55a1-43b4-b41f-c1ed0e87d08f?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=q4HTEBFKRiIdUpjZYJ9XYvTQSYi6ViU%2FXFVVO6ZQ9fU%3D,"Cyberpunk futuristic style, neon lights, dark urban atmosphere, high-tech low-life aesthetic, glowing circuits, holographic displays, chrome and metal textures, rain-soaked streets, dramatic lighting, dystopian cityscape, digital punk fashion"
4,Y2K Aesthetic,https://blob.genspark.ai/97ffa83a-db43-4f8c-9f42-33d4b6b5b7a3?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Fy7Oqfj6pOl4lU9%2B6%2FbTcqNjKdJhI8OgRaV1VqtIj8k%3D,"Y2K millennium aesthetic, chrome metallic surfaces, iridescent colors, translucent materials, futuristic optimism, digital glitch effects, holographic textures, space-age design elements, early 2000s nostalgia, technological utopian vibes"
5,Vaporwave,https://blob.genspark.ai/7c5cd9a5-7fb5-4c89-8a2f-f5a92d4b83c1?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Ls2YvN3hB8EaKqWjGfTp6mUi5xRnOcPdQeH7ZtVuMw4%3D,"Vaporwave aesthetic, synthwave retro style, pink and purple gradient backgrounds, geometric shapes, 80s nostalgia, neon grids, classical statues, Japanese text, glitch art effects, dreamy surreal atmosphere, vintage computer graphics"
6,Cottagecore,https://blob.genspark.ai/e8f6d2b4-9a7c-4d1e-b3f5-a8c9e7b2d4f6?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Np6WmV8hY2CgMeRxFqOk9sLp3nBzTaHdU7JwKvX1Qs0%3D,"Cottagecore aesthetic, rustic countryside charm, cozy cottage vibes, wildflower meadows, vintage floral patterns, handmade crafts, sustainable living, soft earth tones, pastoral scenes, romantic rural lifestyle, gentle natural lighting"
7,Dark Academia,https://blob.genspark.ai/f7a8b3c5-8d9e-4f2a-a6b7-c8d9e0f1a2b3?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Tm4XsK9cR5BhLuPw2yVgNmOq8rZtHaJdI6FvE3CxWs8%3D,"Dark academia aesthetic, gothic architecture, vintage libraries, scholarly atmosphere, tweed and leather textures, candlelit study rooms, antique books, classical art, moody lighting, intellectual sophistication, autumn color palette"
8,Anime/Manga Style,https://blob.genspark.ai/a9b8c7d6-e5f4-4a3b-9c8d-7e6f5a4b3c2d?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Qv3ZpM7fX8YhKwNs5tUgRlEj4nBzCaHdO9VmL2PxTs6%3D,"Anime manga style illustration, large expressive eyes, detailed hair rendering, dynamic poses, cell-shaded coloring, vibrant colors, Japanese comic book aesthetics, character-focused design, emotional expressions, clean line art"
9,Pixar 3D Animation,https://blob.genspark.ai/b8c7d6e5-f4a3-4b2c-8d7e-6f5a4b3c2d1e?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Wk6YoP8eT4XhJvMr3sUfQmNj5lBzDaGcK7HwV1CxRs9%3D,"Pixar 3D animation style, high-quality computer graphics, stylized character design, warm emotional storytelling, detailed texture work, vibrant color schemes, family-friendly appeal, professional 3D rendering, cinematic lighting"
10,Art Nouveau,https://blob.genspark.ai/c7d6e5f4-a3b2-4c1d-7e6f-5a4b3c2d1e0f?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Xm9ZqN7gU5YhKvLs4tWfRnOk6mCzEaHdJ8IwV2DxSt0%3D,"Art Nouveau style, flowing organic lines, floral motifs, elegant curved designs, decorative patterns, vintage poster aesthetics, natural forms inspiration, ornamental details, golden age illustration, sophisticated artistic movement"
